	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthoeca_sp_10tr	0		0.779264214046823	0	0.822742474916388	0.789297658862876	0	0	0.816053511705686	0.842809364548495	0	0.832775919732441	0.602006688963211	0	0	0	0.779264214046823	0.842809364548495	0.822742474916388	0	0.732441471571906	0.816053511705686	0	0.82943143812709	0.809364548494983	0.802675585284281	0.82943143812709	0.775919732441472	0.842809364548495	0.755852842809365	0.809364548494983	0.839464882943144	0.785953177257525	0.842809364548495	0	0.48494983277592	0.695652173913043	0.274247491638796	0.816053511705686	0	0.82943143812709	0.822742474916388	0.826086956521739	0	0.819397993311037	0.832775919732441	0.337792642140468	0.795986622073579	0.812709030100334	0.464882943143813	0	0	0.842809364548495	0.468227424749164	0.816053511705686	0.568561872909699	0.822742474916388	0.729096989966555	0	0.806020066889632	0.79933110367893	0.842809364548495	0	0.183946488294314	0.822742474916388	0.558528428093645	0.277591973244147	0	0.692307692307692	0.274247491638796	0.832775919732441	0	0.842809364548495	0	0	0.77257525083612	0.839464882943144	0.795986622073579	0.812709030100334	0.591973244147157	0.795986622073579	0	0.842809364548495	0.735785953177257	0.424749163879599	0.826086956521739	0.739130434782609	0.581939799331104	0.819397993311037	0.832775919732441	0.842809364548495	0.0735785953177258	0.826086956521739	0.802675585284281	0.839464882943144	0.822742474916388	0.795986622073579
Acanthoeca_spectabilis_VA_02	0	0.779264214046823		0	0.809364548494983	0.779264214046823	0	0	0.795986622073579	0.826086956521739	0	0.816053511705686	0.568561872909699	0	0	0	0.806020066889632	0.826086956521739	0.79933110367893	0	0.68561872909699	0.79933110367893	0	0.826086956521739	0.792642140468227	0.779264214046823	0.816053511705686	0.752508361204013	0.826086956521739	0.725752508361204	0.785953177257525	0.806020066889632	0.769230769230769	0.826086956521739	0	0.454849498327759	0.655518394648829	0.287625418060201	0.809364548494983	0	0.812709030100334	0.806020066889632	0.812709030100334	0	0.816053511705686	0.816053511705686	0.294314381270903	0.779264214046823	0.792642140468227	0.42809364548495	0	0	0.826086956521739	0.441471571906354	0.79933110367893	0.531772575250836	0.806020066889632	0.678929765886288	0	0.789297658862876	0.759197324414716	0.826086956521739	0	0.197324414715719	0.79933110367893	0.521739130434783	0.237458193979933	0	0.662207357859532	0.22742474916388	0.822742474916388	0	0.826086956521739	0	0	0.752508361204013	0.822742474916388	0.765886287625418	0.782608695652174	0.558528428093645	0.762541806020067	0	0.822742474916388	0.71571906354515	0.42809364548495	0.792642140468227	0.725752508361204	0.561872909698997	0.765886287625418	0.816053511705686	0.826086956521739	0.0836120401337793	0.809364548494983	0.792642140468227	0.822742474916388	0.806020066889632	0.762541806020067
Aiptasia_pallida	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alatina_alata	0	0.822742474916388	0.809364548494983	0		0.839464882943144	0	0	0.879598662207358	0.916387959866221	0	0.916387959866221	0.618729096989967	0	0	0	0.849498327759197	0.906354515050167	0.869565217391304	0	0.77257525083612	0.879598662207358	0	0.892976588628763	0.872909698996655	0.852842809364548	0.903010033444816	0.82943143812709	0.916387959866221	0.822742474916388	0.859531772575251	0.872909698996655	0.819397993311037	0.906354515050167	0	0.548494983277592	0.719063545150502	0.321070234113712	0.866220735785953	0	0.903010033444816	0.896321070234114	0.903010033444816	0	0.892976588628763	0.916387959866221	0.364548494983278	0.872909698996655	0.882943143812709	0.471571906354515	0	0	0.916387959866221	0.535117056856187	0.903010033444816	0.581939799331104	0.896321070234114	0.755852842809365	0	0.889632107023411	0.826086956521739	0.916387959866221	0	0.220735785953177	0.889632107023411	0.585284280936455	0.307692307692308	0	0.762541806020067	0.297658862876254	0.896321070234114	0	0.916387959866221	0	0	0.832775919732441	0.91304347826087	0.862876254180602	0.8561872909699	0.595317725752508	0.849498327759197	0	0.909698996655518	0.782608695652174	0.474916387959866	0.892976588628763	0.795986622073579	0.658862876254181	0.842809364548495	0.916387959866221	0.916387959866221	0.0836120401337793	0.899665551839465	0.862876254180602	0.916387959866221	0.899665551839465	0.839464882943144
Amoebidium_parasiticum_JAP72	0	0.789297658862876	0.779264214046823	0	0.839464882943144		0	0	0.876254180602007	0.889632107023411	0	0.903010033444816	0.615384615384615	0	0	0	0.869565217391304	0.909698996655518	0.882943143812709	0	0.735785953177257	0.872909698996655	0	0.859531772575251	0.842809364548495	0.8561872909699	0.896321070234114	0.82943143812709	0.909698996655518	0.826086956521739	0.8561872909699	0.8561872909699	0.785953177257525	0.899665551839465	0	0.505016722408027	0.74247491638796	0.311036789297659	0.869565217391304	0	0.896321070234114	0.909698996655518	0.862876254180602	0	0.852842809364548	0.88628762541806	0.317725752508361	0.869565217391304	0.846153846153846	0.498327759197324	0	0	0.88628762541806	0.491638795986622	0.872909698996655	0.615384615384615	0.909698996655518	0.719063545150502	0	0.8561872909699	0.816053511705686	0.909698996655518	0	0.20066889632107	0.88628762541806	0.555183946488294	0.280936454849498	0	0.759197324414716	0.270903010033445	0.906354515050167	0	0.909698996655518	0	0	0.846153846153846	0.903010033444816	0.836120401337793	0.869565217391304	0.595317725752508	0.869565217391304	0	0.876254180602007	0.769230769230769	0.478260869565217	0.862876254180602	0.789297658862876	0.645484949832776	0.802675585284281	0.903010033444816	0.906354515050167	0.0568561872909699	0.849498327759197	0.872909698996655	0.903010033444816	0.869565217391304	0.862876254180602
Amphimedon_queenslandica	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antipathes_caribbeana	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0.816053511705686	0.795986622073579	0	0.879598662207358	0.876254180602007	0	0		0.919732441471572	0	0.936454849498328	0.632107023411371	0	0	0	0.889632107023411	0.94314381270903	0.906354515050167	0	0.765886287625418	0.923076923076923	0	0.903010033444816	0.876254180602007	0.88628762541806	0.936454849498328	0.862876254180602	0.94314381270903	0.839464882943144	0.899665551839465	0.889632107023411	0.832775919732441	0.933110367892977	0	0.531772575250836	0.782608695652174	0.301003344481605	0.903010033444816	0	0.94314381270903	0.926421404682274	0.916387959866221	0	0.896321070234114	0.919732441471572	0.354515050167224	0.903010033444816	0.903010033444816	0.505016722408027	0	0	0.926421404682274	0.535117056856187	0.929765886287625	0.632107023411371	0.926421404682274	0.74247491638796	0	0.906354515050167	0.8561872909699	0.94314381270903	0	0.207357859531773	0.929765886287625	0.57190635451505	0.297658862876254	0	0.769230769230769	0.287625418060201	0.936454849498328	0	0.94314381270903	0	0	0.896321070234114	0.94314381270903	0.8561872909699	0.879598662207358	0.608695652173913	0.889632107023411	0	0.91304347826087	0.759197324414716	0.454849498327759	0.88628762541806	0.802675585284281	0.668896321070234	0.822742474916388	0.936454849498328	0.936454849498328	0.0802675585284281	0.88628762541806	0.923076923076923	0.94314381270903	0.909698996655518	0.882943143812709
Aplysia_californica	0	0.842809364548495	0.826086956521739	0	0.916387959866221	0.889632107023411	0	0	0.919732441471572		0	0.959866220735786	0.645484949832776	0	0	0	0.909698996655518	0.959866220735786	0.919732441471572	0	0.77257525083612	0.923076923076923	0	0.923076923076923	0.909698996655518	0.91304347826087	0.959866220735786	0.8561872909699	0.976588628762542	0.866220735785953	0.919732441471572	0.899665551839465	0.846153846153846	0.966555183946488	0	0.561872909698997	0.762541806020067	0.324414715719064	0.919732441471572	0	0.963210702341137	0.949832775919732	0.929765886287625	0	0.91304347826087	0.946488294314381	0.367892976588629	0.916387959866221	0.906354515050167	0.528428093645485	0	0	0.953177257525084	0.538461538461538	0.929765886287625	0.642140468227425	0.956521739130435	0.77257525083612	0	0.926421404682274	0.869565217391304	0.973244147157191	0	0.220735785953177	0.946488294314381	0.602006688963211	0.311036789297659	0	0.79933110367893	0.301003344481605	0.949832775919732	0	0.976588628762542	0	0	0.876254180602007	0.966555183946488	0.909698996655518	0.903010033444816	0.608695652173913	0.903010033444816	0	0.939799331103679	0.789297658862876	0.478260869565217	0.906354515050167	0.82943143812709	0.695652173913043	0.872909698996655	0.959866220735786	0.969899665551839	0.0836120401337793	0.936454849498328	0.906354515050167	0.959866220735786	0.953177257525084	0.892976588628763
