	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Abeoforma_whisleri		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthoeca_sp_10tr	0		0.460431654676259	0.522781774580336	0.517985611510791	0	0.484412470023981	0	0.460431654676259	0.522781774580336	0.141486810551559	0.455635491606715	0.503597122302158	0	0.405275779376499	0	0.465227817745803	0.520383693045564	0.496402877697842	0.28537170263789	0.47242206235012	0	0.282973621103118	0.517985611510791	0.510791366906475	0.47242206235012	0.491606714628297	0.489208633093525	0	0	0.508393285371703	0.520383693045564	0.50599520383693	0.489208633093525	0	0	0.462829736211031	0.160671462829736	0	0.489208633093525	0.470023980815348	0.517985611510791	0.299760191846523	0	0.474820143884892	0.522781774580336	0	0.520383693045564	0	0.465227817745803	0	0.510791366906475	0.489208633093525	0.503597122302158	0.522781774580336	0.328537170263789	0.381294964028777	0.369304556354916	0	0	0.388489208633094	0.522781774580336	0	0.517985611510791	0.115107913669065	0.393285371702638	0	0	0.489208633093525	0	0.510791366906475	0	0.513189448441247	0	0	0.467625899280576	0.522781774580336	0.522781774580336	0.45083932853717	0.446043165467626	0.510791366906475	0.513189448441247	0.486810551558753	0.453237410071942	0	0.520383693045564	0	0	0.522781774580336	0.522781774580336	0.522781774580336	0.513189448441247	0.50599520383693	0.470023980815348	0.460431654676259	0.37410071942446	0.460431654676259
Acanthoeca_spectabilis_VA_02	0	0.460431654676259		0.501199040767386	0.49400479616307	0	0.455635491606715	0	0.424460431654676	0.501199040767386	0.148681055155875	0.49400479616307	0.484412470023981	0	0.383693045563549	0	0.491606714628297	0.503597122302158	0.479616306954436	0.26378896882494	0.496402877697842	0	0.247002398081535	0.503597122302158	0.467625899280576	0.477218225419664	0.465227817745803	0.467625899280576	0	0	0.498800959232614	0.501199040767386	0.479616306954436	0.462829736211031	0	0	0.431654676258993	0.177458033573141	0	0.455635491606715	0.443645083932854	0.498800959232614	0.302158273381295	0	0.498800959232614	0.503597122302158	0	0.501199040767386	0	0.438848920863309	0	0.479616306954436	0.45083932853717	0.484412470023981	0.503597122302158	0.347721822541966	0.405275779376499	0.376498800959233	0	0	0.350119904076739	0.503597122302158	0	0.491606714628297	0.119904076738609	0.350119904076739	0	0	0.465227817745803	0	0.484412470023981	0	0.482014388489209	0	0	0.438848920863309	0.498800959232614	0.503597122302158	0.41726618705036	0.453237410071942	0.482014388489209	0.489208633093525	0.45083932853717	0.441247002398082	0	0.496402877697842	0	0	0.503597122302158	0.503597122302158	0.503597122302158	0.484412470023981	0.482014388489209	0.438848920863309	0.431654676258993	0.345323741007194	0.477218225419664
Aiptasia_pallida	0	0.522781774580336	0.501199040767386		0.865707434052758	0	0.829736211031175	0	0.839328537170264	0.947242206235012	0.232613908872902	0.642685851318945	0.928057553956835	0	0.764988009592326	0.251798561151079	0.824940047961631	0.94484412470024	0.788968824940048	0.529976019184652	0.743405275779377	0	0.398081534772182	0.942446043165468	0.844124700239808	0.844124700239808	0.750599520383693	0.911270983213429	0	0	0.817745803357314	0.84652278177458	0.81294964028777	0.822541966426859	0	0.079136690647482	0.705035971223022	0.23021582733813	0	0.884892086330935	0.88968824940048	0.940047961630695	0.431654676258993	0	0.534772182254197	0.947242206235012	0	0.916067146282974	0	0.863309352517986	0	0.829736211031175	0.882494004796163	0.928057553956835	0.920863309352518	0.522781774580336	0.558752997601918	0.410071942446043	0	0	0.755395683453237	0.616306954436451	0	0.928057553956835	0.119904076738609	0.412470023980815	0	0.0695443645083933	0.865707434052758	0	0.920863309352518	0	0.916067146282974	0	0	0.767386091127098	0.781774580335731	0.913669064748201	0.81294964028777	0.570743405275779	0.894484412470024	0.918465227817746	0.834532374100719	0.71462829736211	0	0.88968824940048	0	0.3189448441247	0.887290167865707	0.853717026378897	0.853717026378897	0.913669064748201	0.913669064748201	0.772182254196643	0.815347721822542	0.532374100719424	0.820143884892086
Alatina_alata	0	0.517985611510791	0.49400479616307	0.865707434052758		0	0.760191846522782	0	0.767386091127098	0.865707434052758	0.232613908872902	0.635491606714628	0.848920863309353	0	0.729016786570743	0.249400479616307	0.752997601918465	0.865707434052758	0.707434052757794	0.520383693045564	0.664268585131894	0	0.400479616306954	0.863309352517986	0.779376498800959	0.774580335731415	0.741007194244604	0.829736211031175	0	0	0.743405275779377	0.810551558752998	0.731414868105516	0.786570743405276	0	0.00959232613908873	0.702637889688249	0.23021582733813	0	0.817745803357314	0.817745803357314	0.858513189448441	0.3621103117506	0	0.525179856115108	0.86810551558753	0	0.834532374100719	0	0.781774580335731	0	0.824940047961631	0.81294964028777	0.848920863309353	0.856115107913669	0.515587529976019	0.551558752997602	0.410071942446043	0	0	0.685851318944844	0.609112709832134	0	0.84652278177458	0.11031175059952	0.412470023980815	0	0	0.784172661870504	0	0.839328537170264	0	0.844124700239808	0	0	0.695443645083933	0.772182254196643	0.834532374100719	0.760191846522782	0.544364508393285	0.827338129496403	0.848920863309353	0.75779376498801	0.661870503597122	0	0.817745803357314	0	0.261390887290168	0.822541966426859	0.84652278177458	0.774580335731415	0.84652278177458	0.84652278177458	0.700239808153477	0.748201438848921	0.522781774580336	0.748201438848921
Amoebidium_parasiticum_JAP72	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphimedon_queenslandica	0	0.484412470023981	0.455635491606715	0.829736211031175	0.760191846522782	0		0	0.767386091127098	0.829736211031175	0.136690647482014	0.594724220623501	0.810551558752998	0	0.647482014388489	0.182254196642686	0.741007194244604	0.827338129496403	0.717026378896882	0.479616306954436	0.637889688249401	0	0.364508393285372	0.824940047961631	0.745803357314149	0.743405275779377	0.685851318944844	0.793764988009592	0	0	0.75779376498801	0.729016786570743	0.719424460431655	0.712230215827338	0	0.0695443645083933	0.633093525179856	0.23021582733813	0	0.793764988009592	0.784172661870504	0.824940047961631	0.3621103117506	0	0.489208633093525	0.829736211031175	0	0.822541966426859	0	0.784172661870504	0	0.73621103117506	0.796163069544365	0.820143884892086	0.803357314148681	0.482014388489209	0.45083932853717	0.390887290167866	0	0	0.666666666666667	0.568345323741007	0	0.827338129496403	0.107913669064748	0.376498800959233	0	0.0695443645083933	0.798561151079137	0	0.820143884892086	0	0.817745803357314	0	0	0.700239808153477	0.73621103117506	0.798561151079137	0.721822541966427	0.525179856115108	0.781774580335731	0.81294964028777	0.726618705035971	0.685851318944844	0	0.776978417266187	0	0.249400479616307	0.776978417266187	0.745803357314149	0.73621103117506	0.822541966426859	0.820143884892086	0.697841726618705	0.743405275779377	0.501199040767386	0.719424460431655
Antipathes_caribbeana	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphrocallistes_vastus	0	0.460431654676259	0.424460431654676	0.839328537170264	0.767386091127098	0	0.767386091127098	0		0.870503597122302	0.20863309352518	0.565947242206235	0.832134292565947	0	0.71462829736211	0.23021582733813	0.717026378896882	0.86810551558753	0.743405275779377	0.47242206235012	0.671462829736211	0	0.357314148681055	0.834532374100719	0.76978417266187	0.788968824940048	0.676258992805755	0.851318944844125	0	0	0.774580335731415	0.772182254196643	0.752997601918465	0.762589928057554	0	0.11031175059952	0.697841726618705	0.220623501199041	0	0.803357314148681	0.832134292565947	0.865707434052758	0.441247002398082	0	0.460431654676259	0.86810551558753	0	0.839328537170264	0	0.81294964028777	0	0.743405275779377	0.841726618705036	0.851318944844125	0.844124700239808	0.49400479616307	0.477218225419664	0.366906474820144	0	0	0.726618705035971	0.537170263788969	0	0.858513189448441	0.0839328537170264	0.381294964028777	0	0.0983213429256595	0.822541966426859	0	0.841726618705036	0	0.856115107913669	0	0	0.784172661870504	0.705035971223022	0.841726618705036	0.784172661870504	0.544364508393285	0.803357314148681	0.844124700239808	0.800959232613909	0.669064748201439	0	0.810551558752998	0	0.321342925659472	0.820143884892086	0.745803357314149	0.776978417266187	0.834532374100719	0.834532374100719	0.75779376498801	0.752997601918465	0.49400479616307	0.764988009592326
Aplysia_californica	0	0.522781774580336	0.501199040767386	0.947242206235012	0.865707434052758	0	0.829736211031175	0	0.870503597122302		0.266187050359712	0.642685851318945	0.959232613908873	0	0.815347721822542	0.278177458033573	0.824940047961631	0.995203836930456	0.81294964028777	0.529976019184652	0.764988009592326	0	0.398081534772182	0.952038369304556	0.877697841726619	0.894484412470024	0.750599520383693	0.961630695443645	0	0	0.86810551558753	0.887290167865707	0.863309352517986	0.872901678657074	0	0.129496402877698	0.707434052757794	0.23021582733813	0	0.899280575539568	0.940047961630695	0.990407673860911	0.482014388489209	0	0.534772182254197	0.995203836930456	0	0.966426858513189	0	0.913669064748201	0	0.829736211031175	0.918465227817746	0.97841726618705	0.971223021582734	0.522781774580336	0.558752997601918	0.410071942446043	0	0	0.79136690647482	0.616306954436451	0	0.97841726618705	0.119904076738609	0.412470023980815	0	0.0983213429256595	0.916067146282974	0	0.954436450839328	0	0.966426858513189	0	0	0.81294964028777	0.781774580335731	0.964028776978417	0.848920863309353	0.597122302158273	0.90167865707434	0.940047961630695	0.884892086330935	0.717026378896882	0	0.930455635491607	0	0.369304556354916	0.937649880095923	0.853717026378897	0.904076738609113	0.928057553956835	0.928057553956835	0.774580335731415	0.832134292565947	0.532374100719424	0.870503597122302
